"","TitleLong","Week","Title","Vote","Count"
"417"," [The Craft but make it fashion]","2020-10-26","ButMakeItFashion","I do not love this film but would still show up",3
"418"," [The Craft but make it spoopy]","2020-10-26","ButMakeItSpoopy","I do not love this film but would still show up",3
"419"," [The Craft but we pretend to hate it]","2020-10-26","PretendToHateIt","I do not love this film but would still show up",1
"420"," [The Craft]","2020-10-26","TheCraft","I do not love this film but would still show up",4
"421"," [The Dawn Wall (2017, 1:40)]","2021-08-16","TheDawnWall","I do not love this film but would still show up",5
"422"," [The Expendables (2010, 1:43)]","2021-04-12","TheExpendables","I do not love this film but would still show up",4
"423"," [The Faculty (1998, 1:47)]","2020-11-09","TheFaculty","I do not love this film but would still show up",9
"424"," [The Farthest (2017, 1:56)]","2021-08-16","TheFarthest","I do not love this film but would still show up",7
"425"," [The First Wives Club (1996, 1:42)]","2020-10-12","FirstWivesClub","I do not love this film but would still show up",7
"426"," [The First Wives Club (1996, 1:42)]","2020-11-02","FirstWivesClub","I do not love this film but would still show up",5
"427"," [The Fugitive (1993, 2:10)]","2021-08-30","TheFugitive","I do not love this film but would still show up",9
"428"," [The Fugitive (1993, 2:10)]","2021-12-06","TheFugitive","I do not love this film but would still show up",4
"429"," [The Goonies (1985, 1:54)]","2021-09-20","TheGoonies","I do not love this film but would still show up",6
"430"," [The Grand Budapest Hotel (2014, 1:40)]","2021-03-01","GrandBudapestHotel","I do not love this film but would still show up",5
"431"," [The Grand Budapest Hotel (2014, 1:40)]","2021-03-08","GrandBudapestHotel","I do not love this film but would still show up",11
"432"," [The Grand Budapest Hotel (2014, 1:40)]","2021-06-28","GrandBudapestHotel","I do not love this film but would still show up",7
"433"," [The Guest (2014, 1:40)]","2021-01-25","TheGuest","I do not love this film but would still show up",6
"434"," [The Happytime Murders (2018, 1:31)]","2022-01-17","HappytimeMurders","I do not love this film but would still show up",6
"435"," [The Heat (2013, 2:00)]","2020-09-28","TheHeat","I do not love this film but would still show up",5
"436"," [The Hunt for Red October (1990, 2:15)]","2020-09-21","RedOctober","I do not love this film but would still show up",5
"437"," [The Hunt for Red October (1990, 2:15)]","2021-09-27","Hunt4RedOctober","I do not love this film but would still show up",6
"438"," [The Hustle (2019, 1:34)]","2020-09-28","TheHustle","I do not love this film but would still show up",6
"439"," [The Hustle (2019, 1:34)]","2020-10-05","TheHustle","I do not love this film but would still show up",8
"440"," [The Italian Job (2003, 1:51)]","2021-12-13","ItalianJob","I do not love this film but would still show up",9
"441"," [The Kitchen (2019, 1:43)]","2021-10-11","TheKitchen","I do not love this film but would still show up",6
"442"," [The Kitchen (2019, 1:43)]","2021-10-18","TheKitchen","I do not love this film but would still show up",6
"443"," [The Kitchen (2019, 1:43)]","2021-11-08","TheKitchen","I do not love this film but would still show up",8
"444"," [The Kitchen (2019, 1:43)]","2022-01-10","TheKitchen","I do not love this film but would still show up",8
"445"," [The Last Five Years (2014, 1:34)]","2021-07-19","LastFiveYears","I do not love this film but would still show up",3
"446"," [The Last Witch Hunter (2015, 1:47)]","2021-11-29","TheLastWitchHunter","I do not love this film but would still show up",3
"447"," [The Life Aquatic (2004, 1:59)]","2021-03-08","LifeAquatic","I do not love this film but would still show up",5
"448"," [The Lion King (2019, 1:58)]","2020-12-14","TheLionKing","I do not love this film but would still show up",2
"449"," [The Love Witch (2016, 2:01)]","2020-10-12","TheLoveWitch","I do not love this film but would still show up",5
"450"," [The Mask (1994, 1:41)]","2021-12-27","TheMask","I do not love this film but would still show up",6
"451"," [The Mouse That Roared (1959, 1:20)]","2021-03-22","TheMouseThatRoared","I do not love this film but would still show up",8
"452"," [The Mummy (1999, 2:04)]","2021-03-01","TheMummy","I do not love this film but would still show up",4
"453"," [The Muppets (2011, 1:43)]","2021-07-26","TheMuppets","I do not love this film but would still show up",5
"454"," [The Neon Demon (2016, 1:58)]","2021-03-08","NeonDemon","I do not love this film but would still show up",9
"455"," [The Net (1995, 1:54)]","2021-04-12","TheNet","I do not love this film but would still show up",4
"456"," [The Net (1995, 1:54)]","2021-04-26","TheNet","I do not love this film but would still show up",9
"457"," [The Net (1995, 1:54)]","2021-05-03","TheNet","I do not love this film but would still show up",5
"458"," [The New Mutants (2020, 1:34)]","2020-11-30","TheNewMutants","I do not love this film but would still show up",8
"459"," [The Old Guard (2020, 2:06)]","2021-02-01","TheOldGuard","I do not love this film but would still show up",7
"460"," [The Other Woman (2014, 1:49)]","2021-07-26","TheOtherWoman","I do not love this film but would still show up",4
"461"," [The Producers (2005, 2:14)]","2021-03-22","TheProducers","I do not love this film but would still show up",9
"462"," [The Rocketeer (1991, 1:49)]","2021-09-06","TheRocketeer","I do not love this film but would still show up",10
"463"," [The Rocketeer (1991, 1:49)]","2021-09-20","TheRocketeer","I do not love this film but would still show up",8
"464"," [The Royal Tenenbaums (2001, 1:50)]","2021-10-04","TheRoyalTanenbaums","I do not love this film but would still show up",4
"465"," [The Santa Clause (1994, 1:37)]","2021-12-20","TheSantaClause","I do not love this film but would still show up",3
"466"," [The School of Rock (2003, 1:49)]","2021-01-11","SchoolOfRock","I do not love this film but would still show up",7
"467"," [The Shape of Water (2017, 2:03)]","2021-08-23","ShapeOfWater","I do not love this film but would still show up",10
"468"," [The Spanish Prisoner (1997, 1:50)]","2021-05-31","SpanishPrisoner","I do not love this film but would still show up",7
"469"," [The Stand In (2020, 1:42)]","2021-01-25","TheStandIn","I do not love this film but would still show up",7
"470"," [The Sting (1973, 2:04)]","2021-02-22","TheSting","I do not love this film but would still show up",6
"471"," [The Sting (1973, 2:04)]","2021-08-09","TheSting","I do not love this film but would still show up",5
"472"," [The Suicide Squad (2021, 2:12)]","2021-08-23","SuicideSquad","I do not love this film but would still show up",5
"473"," [The Suicide Squad (2021, 2:12)]","2021-08-30","TheSuicideSquad","I do not love this film but would still show up",7
"474"," [The Suicide Squad (2021, 2:12)]","2021-09-06","SuicideSquad","I do not love this film but would still show up",8
"475"," [The Suicide Squad (2021, 2:12)]","2021-09-20","SuicideSquad","I do not love this film but would still show up",8
"476"," [The Sure Thing (1985)]","2021-05-24","TheSureThing","I do not love this film but would still show up",7
"477"," [The Thing (1982, 1:49)]","2021-10-25","TheThing","I do not love this film but would still show up",7
"478"," [The Thing (1982, 1:49)]","2021-11-01","TheThing","I do not love this film but would still show up",4
"479"," [The Winchester’s End (2013, 1:49)]","2021-03-15","WinchestersEnd","I do not love this film but would still show up",4
"480"," [The Wiz (1978, 2:14)]","2021-04-19","TheWiz","I do not love this film but would still show up",5
"481"," [The World’s End But Make It A Year Ago (2013, 1:49)]","2021-03-15","MakeItAYearAgo","I do not love this film but would still show up",2
"482"," [The World’s End Starring Simon Gets Pegged (2013, 1:49)]","2021-03-15","StaringSimonGetsPegged","I do not love this film but would still show up",2
"483"," [The Zoom Call at the End of the World (2013, 1:49)]","2021-03-15","ZoomCallAtTheEnd","I do not love this film but would still show up",4
"484"," [The.Dawn.Wall (2017)]","2021-09-13","TheDawnWall","I do not love this film but would still show up",5
"485"," [They Live (1988, 1:34)]","2020-11-02","TheyLive","I do not love this film but would still show up",8
"486"," [They Live (1988, 1:34)]","2021-08-09","TheyLive","I do not love this film but would still show up",5
"487"," [They Live (1988, 1:34)]","2021-12-27","TheyLive","I do not love this film but would still show up",8
"488"," [Throw Momma from the Train (1987, 1:28)]","2021-11-22","ThrowMommaFromTrain","I do not love this film but would still show up",10
"489"," [Throw Momma from the Train (1987, 1:28)]","2021-12-27","ThrowMomma","I do not love this film but would still show up",8
"490"," [Throw Momma from the Train (1987, 1:28)]","2022-02-07","ThrowMommaFromTrain","I do not love this film but would still show up",11
"491"," [Tickled (2016, 1:32)]","2021-06-07","Tickled","I do not love this film but would still show up",3
"492"," [Tickled (2016, 1:32)]","2021-07-05","Tickled","I do not love this film but would still show up",5
"493"," [Timecop  (1994, 1:38)]","2022-01-03","Timecop","I do not love this film but would still show up",8
"494"," [Timeline (2003, 1:51)]","2020-10-19","Timeline","I do not love this film but would still show up",11
"495"," [Timeline (2003, 1:51)]","2022-01-03","Timeline","I do not love this film but would still show up",10
"496"," [Top Gun (1986, 1:50)]","2021-08-30","TopGun","I do not love this film but would still show up",5
"497"," [Tracers (2015, 1:34)]","2020-09-21","Tracers","I do not love this film but would still show up",5
"498"," [Trading Places (1983, 1:56)]","2021-02-22","TradingPlaces","I do not love this film but would still show up",9
"499"," [Trading Places (1983, 1:56)]","2021-12-13","TradingPlaces","I do not love this film but would still show up",10
"500"," [Tragedy Girls (2017, 1:38)]","2021-04-26","TragedyGirls","I do not love this film but would still show up",8
"501"," [Tremors (1990, 1:36)]","2020-09-28","Tremors","I do not love this film but would still show up",7
"502"," [Tremors (1990, 1:36)]","2021-03-29","Tremors","I do not love this film but would still show up",5
"503"," [Tremors (1990, 1:36)]","2021-08-09","Tremors","I do not love this film but would still show up",6
"504"," [Tremors (1990, 1:36)]","2021-12-27","Tremors","I do not love this film but would still show up",8
"505"," [Turbo Kid (2015, 1:33)]","2020-10-19","TurboKid","I do not love this film but would still show up",10
"506"," [Turbo Kid (2015, 1:33)]","2020-11-02","TurboKid","I do not love this film but would still show up",5
"507"," [Turbo Kid (2015, 1:33)]","2020-11-09","TurboKid","I do not love this film but would still show up",4
"508"," [Turbo Kid (2015, 1:33)]","2021-01-11","TurboKid","I do not love this film but would still show up",5
"509"," [Turbo Kid (2015, 1:33)]","2021-01-25","TurboKid","I do not love this film but would still show up",5
"510"," [Turbo Kid (2015, 1:33)]","2021-02-01","TurboKid","I do not love this film but would still show up",9
"511"," [Turbo Kid (2015, 1:33)]","2021-08-02","TurboKid","I do not love this film but would still show up",3
"512"," [Turbo Kid (2015, 1:33)]","2021-12-27","TurboKid","I do not love this film but would still show up",4
"513"," [Twister (1996, 1:53)]","2020-09-21","Twister","I do not love this film but would still show up",5
"514"," [UHF (1989, 1:37)]","2020-11-09","UHF","I do not love this film but would still show up",6
"515"," [UHF (1989, 1:37)]","2020-11-16","UHF","I do not love this film but would still show up",6
"516"," [Undercover Brother (2002, 1:26)]","2021-08-02","UndercoverBrother","I do not love this film but would still show up",6
"517"," [Underworld (2003, 2:14)]","2021-08-23","Underworld","I do not love this film but would still show up",9
"518"," [Unicorn Store (2017, 1:32)]","2021-02-08","UnicornStore","I do not love this film but would still show up",9
"519"," [Vampire Academy (2014, 1:44)]","2021-03-08","VampireAcademy","I do not love this film but would still show up",6
"520"," [Vampire Academy (2014, 1:44)]","2021-03-22","VampireAcademy","I do not love this film but would still show up",5
"521"," [Vampire Academy (2014, 1:44)]","2021-03-29","VampireAcademy","I do not love this film but would still show up",3
"522"," [Vampire Academy (2014, 1:44)]","2021-04-05","VampireAcademy","I do not love this film but would still show up",5
"523"," [Vampire Academy (2014, 1:44)]","2021-04-12","VampireAcademy","I do not love this film but would still show up",4
"524"," [Velvet Buzzsaw (2019, 1:53)]","2021-03-01","VelvetBuzzsaw","I do not love this film but would still show up",5
"525"," [Venom (2018, 1:52)]","2020-12-07","Venom","I do not love this film but would still show up",5
"526"," [Venom (2018, 1:52)]","2021-01-04","Venom","I do not love this film but would still show up",3
"527"," [Venom (2018, 1:52)]","2021-01-18","Venom","I do not love this film but would still show up",7
"528"," [Venom (2018, 1:52)]","2021-06-28","Venom","I do not love this film but would still show up",6
"529"," [Venom (2018, 1:52)]","2021-07-12","Venom","I do not love this film but would still show up",2
"530"," [Venom: Let There Be Carnage (2021, 1:37)]","2021-12-06","Venom2","I do not love this film but would still show up",4
"531"," [WarGames (1983, 1:52)]","2020-11-16","WarGames","I do not love this film but would still show up",8
"532"," [WarGames (1983, 1:52)]","2021-02-22","WarGames","I do not love this film but would still show up",6
"533"," [WarGames (1983, 1:52)]","2021-05-10","WarGames","I do not love this film but would still show up",3
"534"," [WarGames (1983, 1:52)]","2021-05-24","WarGames","I do not love this film but would still show up",7
"535"," [Warm Bodies (2013, 1:38)]","2020-09-21","WarmBodies","I do not love this film but would still show up",7
"536"," [Warm Bodies (2013, 1:38)]","2021-08-02","WarmBodies","I do not love this film but would still show up",7
"537"," [Warm Bodies (2013, 1:38)]","2021-08-09","WarmBodies","I do not love this film but would still show up",6
"538"," [Wayne's World (1992, 1:34)]","2020-11-23","WaynesWorld","I do not love this film but would still show up",10
"539"," [Wayne's World (1992, 1:34)]","2022-01-10","WaynesWorld","I do not love this film but would still show up",7
"540"," [We Live in Public (2007, 1:29)]","2021-06-07","WeLiveInPublic","I do not love this film but would still show up",3
"541"," [Weekend at Bernie's (1989, 1:38)]","2022-01-17","WeekendAtBernies","I do not love this film but would still show up",7
"542"," [Who Framed Roger Rabbit (1988, 1:44)]","2021-04-05","WhoFramedRogerRabbit","I do not love this film but would still show up",5
"543"," [Who Framed Roger Rabbit (1988, 1:44)]","2021-04-12","RogerRabbit","I do not love this film but would still show up",7
"544"," [Who Framed Roger Rabbit (1988, 1:44)]","2021-04-26","RogerRabbit","I do not love this film but would still show up",7
"545"," [Who Framed Roger Rabbit (1988, 1:44)]","2021-05-03","RogerRabbit","I do not love this film but would still show up",8
"546"," [Who Framed Roger Rabbit (1988, 1:44)]","2021-05-17","RogerRabbit","I do not love this film but would still show up",9
"547"," [Who Framed Roger Rabbit (1988, 1:44)]","2021-05-31","WhoFramedRogerRabbit","I do not love this film but would still show up",9
"548"," [Who Framed Roger Rabbit (1988, 1:44)]","2021-06-28","RogerRabbit","I do not love this film but would still show up",6
"549"," [Who Framed Roger Rabbit (1988, 1:44)]","2021-07-12","RogerRabbit","I do not love this film but would still show up",5
"550"," [Who Framed Roger Rabbit (1988, 1:44)]","2021-10-04","RogerRabbit","I do not love this film but would still show up",7
"551"," [Who Framed Roger Rabbit (1988, 1:44)]","2022-01-31","RogerRabbit","I do not love this film but would still show up",6
"552"," [Who Framed Roger Rabbit (1988)]","2021-02-08","RogerRabbit","I do not love this film but would still show up",6
"553"," [Widows (2018, 2:10)]","2021-10-18","Widows","I do not love this film but would still show up",8
"554"," [Widows (2018, 2:10)]","2021-12-13","Widows","I do not love this film but would still show up",7
"555"," [Wild Wild West (1999, 1:46)]","2021-05-17","WildWildWest","I do not love this film but would still show up",6
"556"," [Wild Wild West (1999, 1:46)]","2021-05-24","WildWildWest","I do not love this film but would still show up",5
"557"," [Wild Wild West (1999, 1:46)]","2021-05-31","WildWildWest","I do not love this film but would still show up",7
"558"," [Wild Wild West (1999, 1:46)]","2022-01-10","WildWildWest","I do not love this film but would still show up",6
"559"," [Wing Commander (1999, 1:40)]","2022-01-31","WingCommander","I do not love this film but would still show up",5
"560"," [Witches of Eastwick (1987, 1:58)]","2021-10-18","WitchesOfEastwick","I do not love this film but would still show up",6
"561"," [Wrath of Man (2021, 1:59)]","2021-12-13","WrathOfMan","I do not love this film but would still show up",7
"562"," [Zipper (2012)]","2021-09-13","Zipper","I do not love this film but would still show up",6
"563"," [Zombieland (2009, 1:28)]","2021-10-25","Zombieland","I do not love this film but would still show up",10
"564","Votes [Adventures in Babysitting (1987, 1:42)]","2020-07-13","AdventuresInBabysitting","I do not love this film but would still show up",10
"565","Votes [Babe 2: Pig in the City (1998, 1:36)]","2020-06-21","Babe2","I do not love this film but would still show up",4
"566","Votes [Babe 2: Pig in the City (1998, 1:36)]","2020-06-29","Babe2","I do not love this film but would still show up",9
"567","Votes [Babe 2: Pig in the City (1998, 1:36)]","2020-08-24","Babe2","I do not love this film but would still show up",7
"568","Votes [Batman and Robin (1997, 2:05)]","2020-07-06","BatmanAndRobin","I do not love this film but would still show up",3
"569","Votes [Batman Forever (1995, 2:01)]","2020-07-06","BatmanForever","I do not love this film but would still show up",5
"570","Votes [Batteries Not Included (1987, 1:46)]","2020-07-13","BatteriesNotIncluded","I do not love this film but would still show up",10
"571","Votes [Beetlejuice (1988, 1:32)]","2020-06-21","Beetlejuice","I do not love this film but would still show up",9
"572","Votes [Beetlejuice (1988, 1:32)]","2020-06-29","Beetlejuice","I do not love this film but would still show up",12
"573","Votes [Beetlejuice (1988, 1:32)]","2020-07-20","Beetlejuice","I do not love this film but would still show up",10
"574","Votes [Beetlejuice (1988, 1:32)]","2020-08-31","Beetlejuice","I do not love this film but would still show up",7
"575","Votes [Being There (1979, 2:09)]","2020-08-17","BeingThere","I do not love this film but would still show up",12
"576","Votes [Bend It Like Beckham (2002, 1:52)]","2020-08-03","BendItLikeBeckham","I do not love this film but would still show up",6
"577","Votes [Black Dynamite (2009, 1:24)]","2020-08-24","BlackDynamite","I do not love this film but would still show up",7
"578","Votes [Blade (1998, 2:00)]","2020-08-17","Blade","I do not love this film but would still show up",4
"579","Votes [Blade (1998, 2:00)]","2020-08-24","Blade","I do not love this film but would still show up",5
"580","Votes [Burn After Reading (2008, 1:36)]","2020-08-10","BurnAfterReading","I do not love this film but would still show up",4
"581","Votes [But I'm A Cheerleader (1999, 1:25)]","2020-07-20","Cheerleader","I do not love this film but would still show up",6
"582","Votes [Capricorn One (1977, 2:03)]","2020-07-27","CapricornOne","I do not love this film but would still show up",10
"583","Votes [Charlie's Angels: Full Throttle (2003, 1:46)]","2020-08-17","CharliesAngels","I do not love this film but would still show up",6
"584","Votes [Clueless (1995, 1:37)]","2020-06-21","Clueless","I do not love this film but would still show up",6
"585","Votes [Clueless (1995, 1:37)]","2020-06-29","Clueless","I do not love this film but would still show up",6
"586","Votes [Clueless (1995, 1:37)]","2020-07-20","Clueless","I do not love this film but would still show up",6
"587","Votes [Clueless (1995, 1:37)]","2020-07-27","Clueless","I do not love this film but would still show up",9
"588","Votes [Constantine (2005, 2:00)]","2020-08-17","Constantine","I do not love this film but would still show up",6
"589","Votes [Dogma (1999, 2:08)]","2020-07-27","Dogma","I do not love this film but would still show up",7
"590","Votes [Dogma (1999, 2:08)]","2020-08-03","Dogma","I do not love this film but would still show up",8
"591","Votes [Empire Records (1995, 1:30)]","2020-08-03","EmpireRecords","I do not love this film but would still show up",5
"592","Votes [Fargo (1996, 1:38)]","2020-08-10","Fargo","I do not love this film but would still show up",6
"593","Votes [Grease (1978, 1:50)]","2020-08-31","Grease","I do not love this film but would still show up",7
"594","Votes [Grosse Pointe Blank (1997, 1:47)]","2020-08-24","GrossPointeBlank","I do not love this film but would still show up",5
"595","Votes [Hail Caesar (2016, 1:46)]","2020-08-03","HailCaesar","I do not love this film but would still show up",6
"596","Votes [I love you Phillip Morris (2009, 1:37)]","2020-07-20","PhillipMorris","I do not love this film but would still show up",8
"597","Votes [John Wick (2014, 1:41)]","2020-08-24","JohnWick","I do not love this film but would still show up",3
"598","Votes [Jupiter Ascending (2015, 2:07)]","2020-08-17","JupiterAscending","I do not love this film but would still show up",4
"599","Votes [Legally Blonde (2001, 1:36)]","2020-06-21","LegallyBlonde","I do not love this film but would still show up",4
"600","Votes [Legally Blonde (2001, 1:36)]","2020-06-29","LegallyBlonde","I do not love this film but would still show up",4
"601","Votes [Lego Batman (2017,1:44)]","2020-08-31","LegoBatman","I do not love this film but would still show up",5
"602","Votes [Magic Mike XXL (2015, 1:55)]","2020-08-10","MagicMike","I do not love this film but would still show up",5
"603","Votes [Mean Girls (2004, 1:37)]","2020-07-13","MeanGirls","I do not love this film but would still show up",6
"604","Votes [Mean Girls (2004, 1:37)]","2020-07-20","MeanGirls","I do not love this film but would still show up",6
"605","Votes [Mortal Kombat (1995, 1:41)]","2020-08-31","MortalKombat","I do not love this film but would still show up",4
"606","Votes [My Cousin Vinnie (1992, 1:59)]","2020-07-13","CousinVinnie","I do not love this film but would still show up",5
"607","Votes [My Cousin Vinnie (1992, 1:59)]","2020-07-20","CousinVinnie","I do not love this film but would still show up",8
"608","Votes [My Cousin Vinnie (1992, 1:59)]","2020-07-27","CousinVinnie","I do not love this film but would still show up",11
"609","Votes [Phantom of the Opera (2004, 2:21)]","2020-07-06","Phantom","I do not love this film but would still show up",6
"610","Votes [Phone Booth (2002, 1:21)]","2020-07-06","PhoneBooth","I do not love this film but would still show up",7
"611","Votes [Raising Arizona (1987, 1:34)]","2020-08-17","RaisingArizona","I do not love this film but would still show up",10
"612","Votes [RED (2010, 1:51)]","2020-06-21","RED","I do not love this film but would still show up",6
"613","Votes [RED (2010, 1:51)]","2020-06-29","Red","I do not love this film but would still show up",10
"614","Votes [Resident Evil: Apocalypse (2004, 1:34)]","2020-08-03","ResidentEvil","I do not love this film but would still show up",7
"615","Votes [Romy and Michele's High School Reunion (1997, 1:32)]","2020-06-21","RomyAndMichele","I do not love this film but would still show up",3
"616","Votes [Romy and Michele's High School Reunion (1997, 1:32)]","2020-06-29","RomyAndMichele","I do not love this film but would still show up",4
"617","Votes [Romy and Michele's High School Reunion (1997, 1:32)]","2020-07-13","RomyAndMichele","I do not love this film but would still show up",4
"618","Votes [She's The Man (2006, 1:45)]","2020-08-10","ShesTheMan","I do not love this film but would still show up",2
"619","Votes [She's The Man (2006, 1:45)]","2020-08-17","ShesTheMan","I do not love this film but would still show up",5
"620","Votes [Speed Racer (2008, 2:15)]","2020-07-13","SpeedRacer","I do not love this film but would still show up",8
"621","Votes [Spy (2015, 2:10)]","2020-08-03","Spy","I do not love this film but would still show up",7
"622","Votes [Spy (2015, 2:10)]","2020-08-10","Spy","I do not love this film but would still show up",4
"623","Votes [St. Elmos Fire (1985, 1:45)]","2020-07-06","StElmosFire","I do not love this film but would still show up",6
"624","Votes [Step Up (2006, 1:43)]","2020-08-10","StepUp","I do not love this film but would still show up",6
"625","Votes [Tank Girl (1995, 1:44)]","2020-08-31","TankGirl","I do not love this film but would still show up",3
"626","Votes [The Blues Brothers (1980, 2:27)]","2020-08-31","BluesBrothers","I do not love this film but would still show up",6
"627","Votes [The Client (1994, 2:01)]","2020-07-06","TheClient","I do not love this film but would still show up",9
"628","Votes [The Faculty (1998, 1:47)]","2020-07-27","TheFaculty","I do not love this film but would still show up",10
"629","Votes [The Fifth Element (1997, 2:06)]","2020-07-27","FifthElement","I do not love this film but would still show up",4
"630","Votes [The First Wives Club (1996, 1:42)]","2020-07-20","FirstWivesClub","I do not love this film but would still show up",7
"631","Votes [The Founder (2016, 1:55)]","2020-07-20","TheFounder","I do not love this film but would still show up",4
"632","Votes [The Founder (2016, 1:55)]","2020-07-27","TheFounder","I do not love this film but would still show up",10
"633","Votes [The Founder (2016, 1:55)]","2020-08-03","TheFounder","I do not love this film but would still show up",4
"634","Votes [The Founder (2016, 1:55)]","2020-08-10","TheFounder","I do not love this film but would still show up",4
"635","Votes [The Hunt for Red October (1990, 2:15)]","2020-08-10","RedOctober","I do not love this film but would still show up",5
"636","Votes [The Italian Job (2003, 1:51)]","2020-08-03","ItalianJob","I do not love this film but would still show up",8
"637","Votes [The Lost Boys (1987, 1:37)]","2020-07-06","LostBoys","I do not love this film but would still show up",4
"638","Votes [The Mummy (1999, 2:04)]","2020-08-24","TheMummy","I do not love this film but would still show up",4
"639","Votes [The Music Man (1962, 2:31)]","2020-08-31","MusicMan","I do not love this film but would still show up",6
"640","Votes [The Net (1995, 1:54)]","2020-07-13","TheNet","I do not love this film but would still show up",8
"641","Votes [The Wiz (1978, 2:14)]","2020-07-06","TheWiz","I do not love this film but would still show up",8
"642","Votes [They Live (1988, 1:34)]","2020-08-17","TheyLive","I do not love this film but would still show up",11
"643","Votes [Three Men and a Baby (1987, 1:38)]","2020-08-31","ThreeMenBaby","I do not love this film but would still show up",5
"644","Votes [Trading Places (1983, 1:56)]","2020-08-24","TradingPlaces","I do not love this film but would still show up",10
"645","Votes [Tremors (1990, 1:36)]","2020-06-21","Tremors","I do not love this film but would still show up",4
"646","Votes [Tremors (1990, 1:36)]","2020-06-29","Tremors","I do not love this film but would still show up",8
"647","Votes [Twister (1996, 1:53)]","2020-06-21","Twister","I do not love this film but would still show up",7
"648","Votes [Twister (1996, 1:53)]","2020-06-29","Twister","I do not love this film but would still show up",10
"649","Votes [UHF (1989, 1:37)]","2020-07-13","UHF","I do not love this film but would still show up",6
"650","Votes [Undercover Brother (2002, 1:26)]","2020-08-24","UndercoverBrother","I do not love this film but would still show up",6
"651","Votes [WarGames (1983, 1:52)]","2020-07-27","WarGames","I do not love this film but would still show up",12
"652"," [25th Hour (2002, 2:15)]","2022-01-17","TwentyFifthHr","I would NOT come to watch this film",6
"653"," [7 Days in Hell (2015, 0:42)]","2020-12-14","SevenDaysInHell","I would NOT come to watch this film",8
"654"," [A Simple Favor (2018, 1:57)]","2021-07-19","SimpleFavor","I would NOT come to watch this film",3
"655"," [A Simple Favor (2018, 1:57)]","2021-07-26","ASimpleFavor","I would NOT come to watch this film",4
"656"," [Addams Family Values (1993, 1:34)]","2020-10-19","AddamsFamilyValues","I would NOT come to watch this film",4
"657"," [Addams Family Values (1993, 1:34)]","2020-11-02","AddamsFamilyValues","I would NOT come to watch this film",4
"658"," [Air Bud (1997, 1:37)]","2021-09-06","AirBud","I would NOT come to watch this film",5
"659"," [Air Bud (1997, 1:37)]","2021-09-27","AirBud","I would NOT come to watch this film",5
"660"," [Air Bud (1997, 1:37)]","2021-10-11","AirBud","I would NOT come to watch this film",4
"661"," [Air Bud (1997, 1:37)]","2021-11-08","AirBud","I would NOT come to watch this film",3
"662"," [Airheads (1994, 1:32)]","2021-09-27","Airheads","I would NOT come to watch this film",11
"663"," [Amelie (2001, 2:02)]","2020-12-14","Amelie","I would NOT come to watch this film",8
"664"," [American Pie (1999, 1:36)]","2022-01-17","AmericanPie","I would NOT come to watch this film",7
"665"," [Anaconda (1997, 1:29)]","2021-03-08","Anaconda","I would NOT come to watch this film",4
"666"," [Anaconda (1997, 1:29)]","2021-11-01","Anaconda","I would NOT come to watch this film",5
"667"," [Anaconda (1997, 1:29)]","2021-12-06","Anaconda","I would NOT come to watch this film",8
"668"," [Andrew Flemings The Craft]","2020-10-26","AndrewFlemingsTheCraft","I would NOT come to watch this film",2
"669"," [Anna and the Apocalypse (2018, 1:33)]","2021-02-08","AnnaApocalypse","I would NOT come to watch this film",4
"670"," [Atari: Game Over (2014, 1:06)]","2021-07-05","Atari","I would NOT come to watch this film",2
"671"," [Atomic Blonde (2017, 1:55)]","2021-01-11","AtomicBlonde","I would NOT come to watch this film",2
"672"," [Batman Forever (1995, 2:02)]","2021-08-23","BatmanForever","I would NOT come to watch this film",2
"673"," [Batman Returns (1992, 2:03)]","2021-08-30","BatmanReturns","I would NOT come to watch this film",1
"674"," [Be Kind Rewind (2008, 1:42)]","2021-01-25","BeKindRewind","I would NOT come to watch this film",1
"675"," [Beauty Day (2011, 1:32)]","2021-08-16","BeautyDay","I would NOT come to watch this film",3
"676"," [Beauty.Day (2011)]","2021-09-13","BeautyDay","I would NOT come to watch this film",3
"677"," [Bedknobs and Broomsticks (1971, 1:57)]","2020-09-21","BedknobsAndBroom","I would NOT come to watch this film",3
"678"," [Beetlejuice (1988, 1:32)]","2020-10-19","Beetlejuice","I would NOT come to watch this film",4
"679"," [Bend It Like Beckham (2002, 1:52)]","2021-09-20","BendItLikeBeckham","I would NOT come to watch this film",2
"680"," [Bend It Like Beckham (2002, 1:52)]","2021-10-04","BendItLikeBeckham","I would NOT come to watch this film",4
"681"," [Bend It Like Beckham (2002, 1:52)]","2021-11-15","BendItLikeBeckham","I would NOT come to watch this film",5
"682"," [Bi Hard (1988, 2:12)]","2020-12-28","BiHard","I would NOT come to watch this film",0
"683"," [Bill & Ted Face The Music (2020, 1:32)]","2021-04-12","BillAndTed3","I would NOT come to watch this film",5
"684"," [Bill & Ted Face The Music Without Fat Suits (2020, 1:32)]","2022-01-03","BillAndTed","I would NOT come to watch this film",5
"685"," [Bill & Ted's Bogus Journey (1991, 1:34) (flyer's no-homophobia edit)]","2020-10-05","BillAndTed2","I would NOT come to watch this film",3
"686"," [Bill and Ted's Excellent Adventure (1989, 1:30)]","2020-09-21","BillAndTed1","I would NOT come to watch this film",1
"687"," [Birdman (2014, 1:59)]","2021-08-30","Birdman","I would NOT come to watch this film",8
